Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20
,Benin,9.3077,2.3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,5,6,6,6,6,6,6,6,9,13,13,16,16,22,26,26,26,26,35,35,35,35,35,35,35,35,35,35,54,54,54,54,54,54,64,64,64,64,64,90,90,90,96,96,96,140,242,284,319,319,327,327,339,339,339,339,339,130,130,135,135,135,191,191,208,210,210,224,224,232,243,244,244,261,261,261,261,288,305,305,305,388,412,442,483,532,572
,Burkina Faso,12.2383,-1.5616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,15,15,20,33,40,64,75,99,114,146,152,180,207,222,246,261,282,288,302,318,345,364,384,414,443,443,484,497,497,528,542,546,557,565,576,581,600,609,616,629,629,632,635,638,641,645,649,652,662,672,688,729,736,744,748,751,760,766,773,773,780,782,796,796,796,809,812,814,814,814,832,832,845,847,847,847,847,847,881,884,885,888,888,889,890,891,891,892,892,892,894,894,895,899
,Cabo Verde,16.5388,-23.0418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,4,4,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,10,11,56,56,56,58,61,67,68,73,82,88,90,106,109,114,114,121,122,152,165,175,186,191,218,230,236,246,260,267,289,315,326,328,328,328,335,349,356,362,371,380,390,390,390,390,405,421,435,458,466,477,502,536,542,554,567,585,615,657,697,726,750,760,781,792
,Cote d'Ivoire,7.54,-5.5471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,6,9,9,14,14,25,73,80,96,101,101,165,168,179,190,194,218,245,261,323,349,384,444,444,533,574,626,638,638,654,688,801,847,847,916,952,1004,1077,1077,1150,1164,1183,1238,1275,1333,1362,1398,1432,1464,1516,1571,1602,1667,1700,1730,1857,1912,1971,2017,2061,2109,2119,2153,2231,2301,2341,2366,2376,2423,2477,2556,2641,2750,2799,2833,2951,3024,3110,3262,3431,3557,3739,3881,3995,4181,4404,4684,4848,5084,5439,5679,6063
,Gambia,13.4432,-15.3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,12,17,17,17,17,17,18,20,20,20,22,22,23,23,23,23,23,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,28,28,28,28,28,28,28,30,34,34
,Ghana,7.9465,-1.0232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,7,7,11,16,19,23,27,53,93,132,137,141,152,152,161,195,204,205,205,214,214,287,313,378,378,408,566,566,636,636,641,641,834,1042,1042,1042,1154,1154,1279,1279,1550,1550,1671,1671,2074,2074,2169,2169,2719,2719,3091,3091,4012,4263,4263,4700,5127,5408,5530,5638,5735,5735,5735,6096,6269,6269,6486,6617,6683,6808,7117,7303,7303,7616,7768,8070,8070,8297,8548,8885,9168,9462,9638,9910,10201,10201,10358,10856,11118,11964,11964,12193,12590
,Guinea,9.9456,-9.6966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,4,4,4,8,8,16,22,22,30,52,73,111,121,128,144,164,194,212,250,250,319,363,404,438,477,518,579,622,688,761,862,954,996,996,1163,1240,1351,1495,1537,1586,1586,1710,1811,1856,1927,2009,2042,2146,2146,2298,2374,2473,2473,2658,2658,2796,2863,2863,3067,3067,3176,3275,3275,3275,3275,3553,3656,3706,3706,3844,3886,3933,3991,4060,4117,4117,4216,4258,4258,4372,4426,4484,4532,4572,4639,4668
,Liberia,6.4281,-9.4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,6,6,7,10,13,14,14,31,31,37,48,50,59,59,59,59,76,76,91,99,101,101,101,117,120,124,124,141,141,141,152,154,158,166,170,178,189,199,199,199,211,211,213,215,219,223,226,229,233,238,240,249,255,265,265,266,266,269,273,280,288,296,311,316,321,334,345,359,370,383,397,410,421,446,458,498,509,516
,Mauritania,21.0079,10.9408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,3,3,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,15,20,29,40,62,81,131,141,173,200,227,237,262,268,292,346,423,483,530,588,668,745,784,883,947,1049,1104,1162,1283,1439,1572,1682,1783,1887,2057,2223
,Niger,17.6078,8.0817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,7,10,10,10,18,27,27,74,98,120,144,184,253,278,342,410,438,491,529,529,570,584,584,627,639,648,648,657,662,671,681,684,696,701,709,713,719,728,736,750,755,763,770,781,795,815,821,832,854,860,876,885,889,904,909,914,920,924,937,943,945,951,952,952,955,955,956,958,958,960,961,963,966,970,973,973,974,974,974,978,980,980,980,1016,1020
,Nigeria,9.082,8.6753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,8,8,12,22,30,40,44,51,65,70,89,111,131,135,174,184,210,214,232,238,254,276,288,305,318,323,343,373,407,442,493,542,627,665,665,873,981,1095,1182,1273,1337,1532,1728,1932,2170,2388,2558,2802,2950,3145,3526,3912,4151,4399,4641,4787,4971,5162,5450,5621,5959,6175,6401,6677,7016,7261,7526,7839,8068,8344,8733,8915,9302,9855,10162,10578,10819,11166,11516,11844,12233,12486,12801,13464,13873,14554,15181,15682,16085,16658,17148,17735
,Senegal,14.4974,-14.4524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,4,4,4,4,4,4,10,10,24,24,26,31,31,38,47,67,79,86,99,105,119,130,142,162,175,190,195,207,219,222,226,237,244,250,265,278,280,291,299,314,335,342,350,367,377,412,442,479,545,614,671,736,823,882,933,1024,1115,1182,1271,1329,1433,1492,1551,1634,1709,1886,1995,2105,2189,2310,2429,2480,2544,2617,2714,2812,2909,2976,3047,3130,3161,3253,3348,3429,3535,3645,3739,3836,3932,4021,4155,4249,4328,4427,4516,4640,4759,4851,4996,5090,5173,5247,5369
,Togo,8.6195,0.8248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,16,16,18,20,23,23,25,25,25,30,34,36,39,40,41,44,58,65,70,73,76,76,76,77,77,81,81,83,84,84,84,86,88,88,90,96,98,98,99,109,116,123,123,124,126,128,128,135,145,153,174,181,199,219,238,263,298,301,330,338,340,354,363,373,381,386,391,395,422,428,433,442,443,445,452,465,485,487,495,497,501,522,524,525,530,530,531,537,544
,Guinea-Bissau,11.8037,-15.1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,8,8,9,9,15,18,18,18,33,33,36,36,38,38,38,38,43,43,43,46,50,50,50,50,50,52,52,53,73,73,205,205,257,257,257,413,413,475,564,594,641,726,761,820,836,913,913,969,990,1032,1038,1089,1109,1114,1114,1114,1178,1178,1195,1195,1256,1256,1256,1339,1339,1339,1339,1368,1368,1368,1389,1389,1389,1389,1460,1460,1460,1492,1492,1492
,Mali,17.570692,-3.996166000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,18,18,25,28,31,36,39,41,45,47,56,59,74,87,87,105,123,144,148,171,171,216,224,246,258,293,309,325,370,389,408,424,482,490,508,544,563,580,612,631,650,668,692,704,712,730,758,779,806,835,860,874,901,931,947,969,1015,1030,1059,1077,1116,1194,1226,1250,1265,1315,1351,1386,1461,1485,1523,1533,1547,1586,1667,1722,1752,1776,1809,1860,1885,1890
,Sierra Leone,8.460555000000001,-11.779889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,6,6,6,7,7,8,8,10,10,11,13,15,26,30,35,43,50,61,64,82,82,93,93,104,104,124,136,155,166,178,199,225,231,257,291,307,338,338,387,408,447,462,505,519,534,570,585,606,621,707,735,754,782,812,829,852,861,865,896,909,914,929,946,969,1001,1025,1062,1085,1103,1132,1169,1176,1225,1249
